,start_time,end_time,start_soc,end_soc,ev_id,station_type,station_power
48,2023-01-07 20:00:21.389783,2023-01-07 21:38:33.311185,0.56177876295016,0.9224747184002791,e55ef27688137f7c33879909f4f41b78,Public Fast (50 kW),50.0
49,2023-01-07 21:46:54.023093,2023-01-07 22:00:25.055233,0.9224747184002791,0.9893285244716068,e55ef27688137f7c33879909f4f41b78,Public Fast (50 kW),50.0
50,2023-01-01 18:48:45.517234,2023-01-02 01:06:57.615999,0.7597307189542485,0.9759730718954248,2431cd540cd7ec7e8491f0e6a2f53223,Residential Slow (3.6 kW),3.6
51,2023-01-02 18:49:53.850012,2023-01-02 23:40:37.627790,0.8153011764705883,0.9815301176470588,2431cd540cd7ec7e8491f0e6a2f53223,Residential Slow (3.6 kW),3.6
52,2023-01-03 18:43:23.668649,2023-01-03 23:07:59.651365,0.8319013594771241,0.9831901359477124,2431cd540cd7ec7e8491f0e6a2f53223,Residential Slow (3.6 kW),3.6
53,2023-01-04 18:49:22.217452,2023-01-04 23:32:51.544119,0.8199012470588236,0.9819901247058824,2431cd540cd7ec7e8491f0e6a2f53223,Residential Slow (3.6 kW),3.6
54,2023-01-05 18:51:21.720573,2023-01-05 23:38:08.579166,0.8178097325490197,0.981780973254902,2431cd540cd7ec7e8491f0e6a2f53223,Residential Slow (3.6 kW),3.6
55,2023-01-06 18:55:42.700580,2023-01-06 23:34:29.559279,0.8228920843660131,0.9822892084366013,2431cd540cd7ec7e8491f0e6a2f53223,Residential Slow (3.6 kW),3.6
56,2023-01-01 18:48:23.670922,2023-01-01 21:47:19.103021,0.7726614379084967,0.9772661437908496,4563146b787f6f6a509de456a4f18b5d,Residential Slow (7.2 kW),7.2
57,2023-01-02 18:49:56.462204,2023-01-02 20:16:08.523932,0.8904739869281046,0.9890473986928104,4563146b787f6f6a509de456a4f18b5d,Residential Slow (7.2 kW),7.2
58,2023-01-03 18:48:09.803286,2023-01-03 20:05:31.330446,0.9017088366013072,0.9901708836601307,4563146b787f6f6a509de456a4f18b5d,Residential Slow (7.2 kW),7.2
59,2023-01-04 18:43:00.530469,2023-01-04 20:03:53.818988,0.8972244784313727,0.9897224478431372,4563146b787f6f6a509de456a4f18b5d,Residential Slow (7.2 kW),7.2
60,2023-01-05 18:39:02.457982,2023-01-05 19:54:27.910291,0.9041668922875816,0.9904166892287581,4563146b787f6f6a509de456a4f18b5d,Residential Slow (7.2 kW),7.2
61,2023-01-06 18:41:27.475460,2023-01-06 19:59:11.255259,0.901237604261438,0.9901237604261438,4563146b787f6f6a509de456a4f18b5d,Residential Slow (7.2 kW),7.2
62,2023-01-01 08:37:24.090338,2023-01-01 08:53:12.010338,0.97,0.9122296296296296,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
63,2023-01-01 08:58:03.298864,2023-01-01 09:01:47.290864,0.9122296296296296,0.97926,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
64,2023-01-01 19:00:33.595922,2023-01-01 19:16:22.555122,0.97926,0.9121334074074074,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
65,2023-01-01 19:20:46.991418,2023-01-01 19:24:20.047338,0.9121334074074074,0.9802725999999999,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
66,2023-01-01 19:24:20.047338,2023-01-01 19:26:48.002838,0.9802725999999999,0.99802726,36aa45650919461a8c397b1f607852e1,Residential Slow (7.2 kW),7.2
